pH,DO(mg/l),CODMn(mg/l),NH3-N(mg/l),本周水质
7.31,8.32,1.9,0.13,1
8.25,8.9,2.6,0.31,2
8.07,8.62,1.5,0.13,1
7.35,6.96,1.9,0.08,2
7.44,7.85,2.2,0.06,2
7.72,5.99,2.5,0.29,3
7.41,7.72,1.2,0.41,2
7.96,5.48,1.4,0.15,3
8.27,8.44,1.8,0.21,2
7.29,7.56,1.7,0.07,1
7.04,5.67,2.0,0.17,3
7.69,5.84,3.1,0.31,3
7.77,8.35,1.1,0.2,2
7.63,5.68,3.5,0.14,3
7.66,7.56,2.2,0.33,2
7.54,6.58,3.5,0.19,2
8.34,8.01,1.0,0.05,1
7.58,7.52,1.9,0.25,2
8.49,9.13,1.7,0.07,1
7.61,7.89,1.2,0.12,1
7.53,7.3,1.2,0.16,2
7.83,6.19,1.8,0.17,2
7.34,5.34,1.0,0.41,3
6.59,6.53,2.0,0.27,2
8.43,8.33,2.6,0.12,2
8.15,8.64,2.7,0.28,2
6.88,5.11,3.3,0.47,3
6.48,7.56,0.8,0.13,1
7.36,7.3,2.2,0.06,2
8.09,9.41,1.7,0.21,2
7.59,4.97,4.4,0.25,4
7.45,6.93,4.2,0.29,3
8.41,7.63,1.1,0.07,1
7.45,7.84,2.0,0.24,2
8.42,8.68,1.8,0.06,1
7.89,10.0,1.6,0.11,1
7.05,4.88,1.9,0.41,4
7.45,7.27,2.2,0.77,3
7.68,6.65,0.4,0.21,2
7.31,5.37,0.9,0.38,3
6.59,7.95,1.8,0.41,2
6.83,7.88,1.6,0.11,1
8.37,8.44,2.7,0.13,2
8.04,8.39,3.1,0.26,2
8.03,8.51,2.0,0.19,2
7.45,8.51,1.5,0.12,1
7.42,7.6,1.9,0.06,1
7.34,6.76,2.9,0.15,2
7.71,6.28,3.4,0.25,2
7.57,7.61,1.7,0.25,2
8.15,8.32,2.9,0.16,2
7.63,6.44,0.8,0.24,2
8.05,8.48,1.8,0.19,2
7.34,8.79,2.1,0.13,2
7.66,7.89,2.0,0.06,1
7.57,7.18,3.0,0.13,2
7.79,7.88,2.8,0.2,2
8.1,9.07,3.0,0.21,2
7.55,4.71,5.2,0.29,4
7.51,7.6,2.2,0.26,2
7.41,7.87,3.3,0.29,2
8.04,8.32,1.2,0.05,1
7.48,7.47,2.3,0.31,2
8.52,9.04,2.0,0.07,1
8.05,9.61,1.4,0.16,2
6.97,6.79,1.9,0.46,2
7.32,6.47,1.3,0.36,2
7.27,5.26,1.0,0.41,3
6.62,6.72,2.1,0.38,2
6.97,9.58,2.0,0.12,1
8.02,8.12,2.5,0.28,2
7.71,7.66,1.2,0.29,2
7.79,9.75,1.4,0.16,2
6.82,2.71,4.6,2.97,6
7.79,7.92,1.5,0.22,2
7.45,9.12,1.2,0.1,1
7.56,7.74,1.5,0.12,1
7.52,10.7,1.3,0.16,2
7.08,7.99,1.5,0.37,2
7.7,7.6,1.1,0.35,2
7.8,8.7,1.2,0.12,1
6.8,2.1,4.7,3.27,6
7.6,9.3,1.5,0.31,2
7.3,7.7,1.3,0.09,1
7.4,6.8,1.7,0.11,2
7.5,11.1,1.3,0.14,1
7.1,8.1,1.7,0.17,2
7.3,9.61,1.8,0.32,2
7.7,7.49,1.0,0.17,2
7.71,8.66,1.1,0.09,1
7.29,12.0,1.3,0.16,2
7.18,7.33,2.0,0.2,2
7.23,7.49,1.2,0.12,2
7.41,6.75,1.8,0.08,2
6.76,2.1,4.5,1.62,5
7.63,8.1,1.1,0.19,2
7.53,9.01,1.6,0.09,1
6.86,3.81,3.9,0.75,4
7.09,9.57,1.8,0.32,2
7.18,8.03,1.3,0.16,2
7.42,6.67,1.9,0.09,2
7.29,11.2,1.4,0.18,2
6.0,8.48,1.3,0.18,2
7.62,7.01,0.6,0.17,2
6.86,2.65,3.9,2.31,6
6.4,7.88,1.4,0.17,2
7.54,8.59,2.1,0.24,2
7.41,6.39,1.8,0.12,2
7.0,9.92,1.9,0.14,1
7.26,9.05,1.7,0.33,2
7.21,8.47,1.2,0.22,2
7.71,8.27,2.0,0.18,2
7.38,6.25,2.3,0.15,2
6.75,2.46,4.4,1.37,5
7.35,8.73,1.8,0.32,2
7.23,8.24,1.1,0.16,2
7.4,6.38,2.1,0.13,2
7.37,10.2,1.5,0.14,1
6.84,7.5,1.7,0.16,2
7.79,8.69,0.3,0.19,2
7.42,5.96,2.1,0.16,3
6.71,2.17,4.8,1.22,5
7.71,7.89,1.7,0.34,2
7.36,8.36,1.0,0.12,1
7.22,6.12,3.1,0.14,2
7.81,9.9,0.7,0.13,1
7.08,7.17,1.8,0.16,2
7.88,9.17,0.5,0.14,1
7.21,8.45,1.8,0.35,2
7.55,5.69,1.2,0.15,3
7.74,8.8,0.6,0.22,2
7.18,6.97,1.3,0.13,2
7.44,7.67,1.1,0.13,1
7.29,6.62,2.6,0.13,2
6.73,2.29,4.2,0.52,5
7.45,6.59,2.3,0.09,2
7.68,7.74,0.6,0.21,2
7.58,5.73,1.1,0.18,3
7.98,8.45,1.8,0.32,2
7.0,7.25,1.6,0.15,2
7.32,6.14,2.0,0.12,2
7.91,8.87,0.3,0.21,2
6.98,2.2,4.1,0.51,5
7.53,6.23,1.5,0.08,2
7.87,8.3,0.8,0.14,1
7.64,7.04,1.6,0.29,2
7.65,7.44,1.4,0.11,2
7.18,2.81,2.9,0.21,5
6.81,6.81,1.4,0.17,2
7.18,6.44,1.8,0.09,2
7.78,6.71,0.8,0.13,2
7.43,6.9,1.3,0.07,2
8.14,8.11,1.0,0.16,2
7.39,3.08,2.5,0.19,4
7.27,6.93,1.8,0.32,2
7.12,6.02,1.5,0.15,2
7.59,6.28,1.7,0.09,2
7.88,8.44,1.3,0.1,1
7.35,7.32,2.0,0.19,2
7.23,6.11,1.1,0.07,2
7.82,8.82,1.2,0.11,1
7.46,7.11,1.5,0.07,2
6.52,7.19,1.9,0.33,2
7.34,4.54,1.9,0.24,4
6.89,7.88,1.8,0.0,1
6.91,6.12,1.3,0.14,2
8.38,9.43,1.2,0.2,2
7.06,6.52,2.2,0.07,2
8.17,7.58,1.0,0.19,2
7.3,3.7,4.0,0.21,4
6.51,7.83,1.7,0.33,2
7.13,6.64,1.4,0.11,2
7.47,6.03,1.2,0.08,2
8.1,8.53,1.5,0.1,1
7.24,7.48,1.4,0.0,2
7.21,6.77,2.2,0.07,2
7.92,7.15,1.1,0.16,2
7.21,2.83,3.1,0.75,5
6.6,7.87,1.7,0.33,2
7.16,6.82,1.5,0.13,2
7.54,5.99,1.6,0.09,3
7.82,8.16,1.5,0.11,1
7.13,6.1,1.8,0.35,2
7.3,6.62,2.1,0.1,2
8.16,7.01,1.0,0.18,2
7.07,2.1,4.0,0.65,5
6.88,8.11,1.7,0.33,2
7.35,6.86,1.5,0.07,2
7.48,6.01,2.1,0.09,2
7.81,8.23,1.5,0.18,2
7.4,7.15,0.9,0.42,2
7.58,6.96,1.7,0.25,2
7.37,6.82,1.5,0.06,2
7.53,6.21,1.3,0.1,2
7.09,2.3,4.8,1.28,5
6.89,6.92,1.8,0.32,2
7.35,6.57,2.5,0.07,2
8.0,7.49,1.5,0.12,2
7.75,7.72,1.5,0.24,2
7.31,6.64,1.4,0.05,2
7.52,5.83,0.6,0.11,3
7.7,8.52,1.4,0.18,2
7.46,7.33,0.8,0.14,2
7.19,6.48,2.4,0.09,2
7.84,6.2,1.7,0.12,2
7.07,2.21,4.0,1.37,5
7.27,6.94,1.7,0.32,2
7.72,6.15,1.7,0.11,2
7.52,6.82,1.1,0.14,2
7.06,6.6,1.9,0.07,2
7.12,3.13,4.5,0.53,4
7.72,10.7,1.4,0.07,1
7.31,6.96,1.7,0.33,2
7.39,6.68,2.3,0.08,2
7.43,6.18,0.7,0.08,2
7.12,6.38,1.8,0.1,2
7.83,7.0,2.2,0.11,2
7.13,2.82,4.0,0.61,5
7.22,7.06,1.8,0.32,2
6.86,6.57,1.9,0.03,2
7.31,6.02,2.2,0.11,2
7.63,9.08,1.3,0.05,1
7.39,7.54,1.4,0.2,2
7.28,7.33,2.7,0.05,2
7.86,7.19,0.8,0.1,2
7.16,2.36,3.1,0.78,5
7.22,6.97,1.8,0.33,2
7.23,6.75,2.0,0.04,2
7.5,6.67,1.5,0.15,2
7.67,8.14,0.0,0.06,1
7.36,7.52,1.6,0.21,2
7.2,7.12,1.8,0.33,2
7.55,7.9,1.2,0.23,2
7.19,6.78,1.8,0.05,2
7.12,7.52,2.8,0.09,2
7.77,7.09,1.3,0.1,2
7.15,3.14,1.3,0.47,4
7.54,7.81,0.4,0.13,1
7.6,6.63,1.8,0.11,2
7.24,6.76,1.7,0.32,2
7.07,7.27,3.8,0.1,2
7.82,6.93,2.2,0.1,2
7.5,7.71,0.4,0.04,1
7.42,7.87,1.3,0.15,1
7.31,6.79,1.6,0.11,2
7.39,6.45,2.0,0.11,2
7.14,3.74,2.2,0.27,4
7.81,5.67,1.1,0.22,3
7.08,7.13,3.0,0.1,2
7.81,5.67,1.1,0.22,3
7.18,3.27,3.1,0.6,4
7.73,7.43,1.1,0.13,2
7.32,6.81,1.3,0.06,2
7.28,5.47,2.1,0.08,3
7.31,7.51,0.4,0.07,1
7.27,7.03,1.8,0.31,2
7.08,7.13,3.0,0.1,2
7.73,7.43,1.1,0.13,2
7.32,6.81,1.3,0.06,2
7.28,5.47,2.1,0.08,3
7.31,7.51,0.4,0.07,1
7.27,7.03,1.8,0.31,2
7.18,3.27,3.1,0.6,4
7.13,7.25,2.1,0.1,2
7.86,6.26,1.7,0.22,2
7.13,3.16,2.9,0.59,4
7.3,6.89,1.9,0.2,2
7.08,7.55,1.3,0.07,1
7.4,7.73,1.7,0.34,2
7.44,6.88,1.3,0.05,2
7.13,7.25,2.1,0.1,2
7.86,6.26,1.7,0.22,2
7.13,3.16,2.9,0.59,4
7.3,6.89,1.9,0.2,2
7.44,6.88,1.3,0.05,2
7.41,5.89,1.3,0.1,3
7.08,7.55,1.3,0.07,1
7.4,7.73,1.7,0.34,2
7.41,5.89,1.3,0.1,3
7.5,8.33,0.5,0.06,1
7.28,7.33,2.3,0.09,2
7.46,20.0,1.7,0.32,2
7.1,3.49,3.3,0.44,4
7.55,7.27,1.6,0.16,2
7.39,6.79,1.7,0.03,2
7.6,6.19,1.1,0.1,2
7.8,5.79,1.9,0.19,3
7.39,6.88,1.4,0.05,2
7.4,6.42,1.3,0.14,2
7.55,6.07,1.1,0.21,2
6.96,7.58,1.4,0.08,1
7.11,4.15,1.9,0.29,4
7.15,7.93,1.6,0.32,2
7.62,6.61,2.5,0.11,2
7.38,8.12,2.0,0.05,1
7.36,6.94,1.6,0.32,2
7.16,7.39,0.8,0.08,2
7.51,6.14,2.3,0.29,2
7.26,7.19,3.0,0.08,2
7.37,6.49,1.5,0.14,2
6.81,7.45,2.7,0.09,2
7.55,6.17,1.7,0.13,2
7.37,6.49,1.5,0.14,2
7.26,7.19,3.0,0.08,2
7.05,4.22,2.4,0.25,4
7.55,6.17,1.7,0.13,2
7.16,7.39,0.8,0.08,2
7.36,6.94,1.6,0.32,2
7.51,6.14,2.3,0.29,2
7.05,4.22,2.4,0.25,4
6.81,7.45,2.7,0.09,2
7.31,7.62,1.6,0.04,1
7.47,5.65,1.4,0.21,3
7.43,7.12,0.0,0.13,2
7.87,6.05,1.1,0.12,2
7.34,8.03,0.9,0.1,1
7.38,7.03,1.9,0.02,2
6.87,7.43,2.7,0.1,2
6.86,2.72,2.7,0.41,5
7.23,8.04,0.7,0.17,2
7.18,5.38,2.0,0.1,3
7.65,7.18,2.2,0.11,2
6.83,6.97,2.6,0.05,2
7.07,3.73,1.5,0.52,4
7.85,6.46,1.0,0.11,2
7.01,7.65,3.5,0.09,2
7.17,7.71,1.1,0.09,1
7.37,7.72,2.8,0.17,2
7.86,6.5,1.7,0.12,2
6.72,11.4,1.7,0.34,2
7.17,6.71,1.4,0.23,2
7.28,5.91,2.1,0.11,3
7.21,7.78,0.9,0.32,2
7.2,3.23,3.5,0.65,4
7.68,6.85,2.1,0.12,2
7.27,5.31,2.1,0.04,3
7.37,7.82,0.9,0.14,1
7.3,7.65,3.1,0.23,2
7.56,6.45,1.0,0.11,2
7.32,3.23,2.3,0.61,4
7.77,5.67,1.9,0.08,3
7.11,7.28,0.8,0.17,2
6.96,7.25,0.8,0.38,2
7.47,6.84,3.6,0.39,2
7.46,12.8,4.7,0.36,3
7.02,9.17,4.4,0.3,3
7.26,12.0,4.4,0.33,3
6.79,8.96,4.4,0.29,3
7.23,11.2,5.4,0.61,3
6.94,9.17,4.6,0.29,3
7.2,10.6,5.0,1.04,4
6.88,8.28,4.3,0.31,3
7.22,11.1,5.8,1.62,5
7.3,8.9,4.7,0.3,3
7.2,10.1,4.2,0.32,3
7.46,8.45,3.9,0.3,2
7.17,9.56,4.0,0.29,2
8.36,7.95,4.3,0.31,3
7.12,8.68,3.8,0.28,2
8.23,7.37,3.9,0.36,2
7.34,8.82,3.1,0.27,2
8.09,7.47,4.0,0.34,2
8.0,10.3,3.1,0.27,2
8.02,7.11,4.4,0.35,3
7.6,9.05,3.1,0.26,2
7.6,7.96,3.8,0.39,2
8.07,6.13,4.2,0.33,3
7.82,5.32,4.2,0.35,3
7.25,6.98,4.0,0.35,2
7.62,7.87,4.6,0.35,3
7.15,6.61,4.7,0.26,3
8.2,8.2,5.2,0.29,3
7.62,6.51,3.8,0.32,2
8.05,7.8,4.8,0.23,3
7.58,5.24,3.7,0.35,3
8.07,6.88,3.9,0.33,2
7.72,6.59,3.8,0.37,2
8.17,6.04,3.7,0.34,2
7.82,6.88,4.0,0.26,2
7.88,4.54,3.9,0.35,4
8.29,6.72,2.8,0.24,2
6.97,5.91,5.5,0.34,3
9.25,12.8,5.1,0.21,6
7.43,5.2,5.5,0.31,3
8.41,9.27,5.5,0.21,3
7.2,5.44,3.5,0.29,3
8.3,8.95,5.2,0.2,3
6.83,5.3,4.4,0.32,3
7.69,8.06,5.1,0.2,3
7.08,6.32,3.6,0.28,2
7.26,7.12,5.5,0.2,3
6.63,5.07,3.1,0.3,3
7.08,6.02,5.5,0.19,3
6.62,6.46,3.4,0.31,2
7.32,6.76,7.1,0.22,4
6.42,6.63,4.4,0.44,3
7.19,5.53,4.3,0.18,3
6.68,6.42,3.5,0.25,2
7.79,6.96,5.6,0.23,3
6.68,8.41,3.6,0.25,2
7.11,4.54,5.6,0.43,4
6.94,8.81,3.4,0.23,2
7.11,4.04,6.3,1.32,4
6.87,7.64,3.5,0.21,2
6.98,2.34,5.9,2.04,6
6.85,7.38,2.9,0.2,2
7.57,6.86,3.6,0.31,2
6.93,7.32,2.9,0.22,2
7.34,6.56,3.7,0.22,2
7.38,6.06,2.3,0.43,2
6.95,5.01,3.4,0.21,3
7.05,5.64,3.7,0.22,3
7.37,6.45,3.4,0.14,2
7.42,7.96,6.2,0.39,4
7.01,6.59,3.6,0.28,2
7.0,5.31,3.8,0.2,3
7.29,7.78,5.6,0.25,3
6.88,5.58,5.1,0.24,3
7.18,7.88,3.0,0.22,2
6.68,7.72,4.9,0.16,3
6.87,6.13,4.9,0.2,3
6.7,8.7,4.9,0.28,3
7.06,7.89,5.1,0.27,3
6.7,9.2,4.0,0.39,2
7.04,7.93,4.7,0.13,3
7.09,11.0,3.8,0.16,2
6.9,7.97,5.2,0.13,3
6.88,9.93,3.6,0.18,2
6.89,8.26,4.6,0.1,3
6.98,9.64,5.0,0.27,3
6.7,10.4,3.4,0.26,2
7.03,10.4,5.6,0.28,3
6.86,12.1,4.9,0.18,3
7.06,11.4,4.8,0.32,3
6.99,13.0,5.3,0.21,3
6.65,9.09,6.3,0.42,4
7.07,10.9,5.3,0.29,3
6.83,6.23,5.4,0.33,3
6.81,9.79,6.6,0.53,4
6.77,11.1,6.5,0.1,4
7.59,9.17,5.3,0.33,3
6.76,9.72,4.2,0.3,3
6.68,11.1,5.5,0.08,3
7.14,11.3,5.9,0.36,3
6.88,12.9,5.2,0.08,3
7.16,12.7,4.6,0.22,3
6.99,10.2,4.6,0.65,3
7.66,8.36,3.4,0.26,2
9.13,9.73,10.2,0.3,6
8.26,7.97,7.8,0.42,4
8.17,4.25,8.0,0.16,4
8.1,12.0,4.4,0.19,3
9.33,10.6,9.5,0.36,6
8.93,9.77,10.4,0.31,5
8.21,4.12,8.3,0.23,4
7.87,8.39,4.0,0.26,2
9.1,9.51,13.2,0.37,6
8.84,8.56,9.0,0.44,4
8.15,4.36,9.4,0.4,4
9.14,9.38,11.4,0.46,4
8.07,3.98,8.5,0.3,4
7.88,9.25,4.8,0.16,2
9.18,10.1,13.1,0.42,6
7.74,10.2,4.7,0.12,3
9.14,9.65,13.7,0.36,6
9.08,8.6,10.8,0.37,6
8.03,3.19,8.1,0.48,4
7.79,8.37,4.8,0.39,3
9.09,8.86,11.3,0.32,6
8.95,8.57,9.3,0.41,4
7.74,3.3,8.2,0.41,4
7.75,7.75,5.8,0.23,3
9.13,8.56,15.7,0.31,6
9.05,8.58,10.9,0.46,6
7.79,3.26,8.5,0.42,4
7.66,9.66,6.1,0.19,4
9.2,8.66,10.9,0.29,6
9.11,7.59,11.0,0.27,6
7.84,3.1,8.7,0.34,4
7.66,9.19,5.9,0.2,3
9.31,9.38,9.2,0.29,6
9.36,9.62,10.4,0.36,6
7.92,3.31,8.8,0.34,4
7.59,8.16,5.9,0.18,3
9.22,8.6,9.4,0.27,6
9.18,8.7,8.8,0.24,6
8.21,3.62,10.0,0.3,4
7.61,10.7,6.0,0.17,3
9.21,9.27,12.5,0.27,6
9.34,9.51,7.0,0.21,6
8.04,3.04,10.4,0.24,5
7.68,9.93,5.9,0.18,3
9.24,8.76,13.7,0.36,6
9.22,8.62,12.0,0.24,6
8.01,3.63,11.0,0.28,5
7.54,7.13,5.8,0.17,3
9.38,8.93,14.1,0.27,6
9.1,8.59,15.0,0.2,6
8.13,4.06,10.8,0.22,5
7.59,9.01,6.3,0.11,4
9.62,9.32,15.4,0.27,6
9.31,9.19,13.8,0.4,6
7.8,3.16,11.5,0.21,5
7.45,6.68,6.9,0.13,4
9.59,8.62,0.0,0.26,6
9.56,9.92,14.4,0.18,6
7.78,3.23,11.5,0.31,5
7.3,5.58,6.6,0.11,4
9.35,8.01,11.9,0.04,6
9.33,8.2,14.6,0.2,6
8.08,3.1,11.8,0.44,5
7.46,6.91,7.0,0.1,4
9.78,9.51,15.6,0.05,6
9.81,10.6,15.9,0.29,6
8.46,3.18,10.3,0.54,5
7.67,7.34,9.1,0.14,4
9.56,8.03,13.9,0.05,6
9.25,7.87,14.7,0.25,6
8.55,2.84,13.1,0.52,5
7.68,8.62,8.5,0.13,4
9.51,8.58,10.9,0.06,6
9.16,7.1,12.0,0.31,6
8.97,3.38,13.6,0.44,5
9.36,8.01,8.8,0.05,6
9.6,9.24,14.3,0.19,6
8.9,3.86,12.8,0.32,5
7.85,8.6,11.2,0.14,5
8.23,9.45,10.0,0.14,4
9.38,8.81,8.9,0.07,6
9.66,9.87,15.3,0.18,6
8.52,3.44,12.8,0.39,5
8.43,6.56,10.6,0.16,5
9.13,7.68,10.6,0.08,6
9.17,6.93,12.3,0.5,6
8.25,2.72,10.9,0.44,5
8.76,9.42,12.1,0.11,5
9.15,8.17,9.2,0.02,6
9.77,7.73,11.6,0.46,6
8.66,3.42,12.5,0.36,5
8.69,9.04,11.6,0.1,5
9.07,8.57,8.1,0.06,6
9.3,8.27,11.4,0.33,6
8.47,3.16,14.6,0.22,5
8.39,9.23,5.2,0.16,3
8.55,7.95,2.8,0.47,2
9.63,7.88,16.0,0.25,6
7.92,3.37,9.2,0.25,4
8.31,9.57,6.7,0.17,4
8.74,8.06,3.4,0.42,2
9.86,8.2,16.2,0.23,6
8.11,3.47,9.7,0.25,4
8.17,10.1,7.4,0.14,4
8.8,8.63,6.1,0.4,4
9.38,6.98,16.3,0.44,6
8.44,3.86,9.7,0.23,4
8.23,11.6,6.1,0.18,4
8.59,8.01,7.7,0.47,4
9.28,8.23,17.2,0.49,6
8.43,3.86,9.3,0.28,4
7.37,2.97,7.3,0.24,5
8.67,8.9,11.1,0.37,5
9.13,7.13,17.3,0.45,6
8.17,4.04,9.3,0.25,4
8.85,7.57,17.4,0.38,6
8.63,5.57,9.2,0.2,4
7.95,7.8,7.0,0.27,4
8.51,8.68,8.5,0.18,4
7.38,6.9,6.7,1.26,4
8.42,8.56,6.6,0.14,4
9.09,7.41,18.9,0.32,6
8.86,6.94,9.1,0.22,4
7.92,6.71,7.0,0.19,4
8.42,8.44,6.4,0.13,4
9.24,7.59,18.4,0.29,6
8.76,7.12,9.1,0.19,4
8.12,8.05,8.7,0.22,4
8.32,7.83,11.0,0.11,4
8.53,4.25,18.1,0.4,6
8.43,6.66,7.9,0.18,4
8.1,7.9,8.2,0.25,4
8.2,7.8,11.8,0.14,4
8.3,2.4,17.9,0.36,6
8.6,7.7,9.0,0.56,4
8.28,3.59,19.0,0.33,6
8.54,8.12,6.5,0.7,4
7.57,4.56,7.1,0.44,4
8.03,7.42,5.6,0.2,4
7.88,6.07,6.7,0.3,4
7.98,7.06,6.8,0.41,4
8.75,7.06,18.8,0.65,6
8.18,6.98,6.7,0.81,4
8.05,7.0,9.9,0.48,4
8.83,7.11,18.6,0.59,6
8.2,6.69,7.6,0.8,4
8.04,7.24,5.7,0.24,3
8.04,7.25,6.1,0.26,4
8.17,7.11,5.2,0.25,3
8.27,3.92,17.2,0.42,6
8.14,6.91,7.4,0.78,4
7.92,8.96,5.7,0.33,3
8.19,7.24,5.4,0.3,3
8.07,6.25,15.3,0.47,6
8.15,7.18,7.0,0.69,4
7.81,9.42,5.7,0.34,3
8.16,7.64,6.6,0.64,4
8.12,7.3,11.8,0.49,5
8.18,7.57,4.7,0.54,3
7.93,7.69,8.0,0.34,4
8.12,8.01,7.2,0.7,4
8.06,7.41,9.7,0.63,4
8.24,8.19,5.8,0.55,3
7.85,6.99,8.1,0.25,4
8.06,8.07,7.1,0.63,4
8.37,7.99,4.7,0.33,3
8.18,6.69,8.9,0.46,4
8.11,8.47,7.2,0.53,4
8.43,8.54,3.8,0.26,2
8.27,7.76,7.1,0.53,4
7.9,6.64,7.7,0.21,4
8.33,8.93,8.1,0.57,4
8.22,10.3,5.7,0.2,3
8.3,8.15,6.4,0.69,4
8.59,8.79,3.5,0.32,2
8.57,9.13,8.9,0.53,4
7.96,8.52,5.2,0.25,3
8.45,6.87,7.2,0.68,4
8.67,9.5,4.9,0.28,3
9.03,11.5,5.4,0.19,6
8.49,6.58,7.8,0.45,4
8.7,8.61,8.9,0.43,4
7.84,5.53,3.5,0.18,3
8.92,8.79,8.5,0.34,4
9.17,11.6,6.1,0.31,6
8.77,7.34,7.9,0.26,4
7.85,5.98,3.7,0.15,3
9.03,8.72,8.5,0.72,6
7.85,6.86,4.7,0.12,3
8.81,7.98,7.3,0.49,4
9.18,11.5,5.4,0.0,6
9.03,9.4,3.9,0.97,6
7.87,7.05,7.4,0.13,4
9.11,8.94,8.9,0.45,6
9.22,11.6,6.8,0.38,6
8.24,12.2,1.2,0.26,2
8.46,12.0,1.3,0.22,2
7.78,8.42,3.8,1.32,4
7.5,8.82,4.4,2.2,6
7.71,11.0,3.6,1.26,4
7.14,10.9,1.5,0.05,1
8.31,8.18,0.0,0.14,1
8.06,11.8,1.0,0.28,2
8.49,12.0,1.8,0.17,2
7.64,11.6,1.6,0.02,1
7.85,6.89,0.0,0.44,2
7.73,10.8,2.9,1.11,4
7.88,9.17,3.4,0.88,3
7.96,11.8,1.3,0.35,2
8.38,11.6,1.7,0.17,2
7.76,8.12,3.6,0.93,3
7.73,6.87,5.1,1.24,4
7.82,10.9,3.3,0.81,3
8.22,11.5,1.6,0.02,1
7.93,7.39,0.0,0.4,2
7.66,10.5,1.6,0.33,2
8.26,11.6,1.8,0.17,2
7.6,8.39,2.6,0.7,4
7.58,8.59,4.9,1.64,6
7.83,11.2,4.1,1.09,4
8.45,11.0,1.6,0.03,1
7.95,6.25,0.0,0.32,1
7.94,10.8,1.9,0.26,2
8.19,10.5,1.8,0.16,2
7.66,8.33,2.4,0.48,2
7.74,7.51,4.8,1.49,4
7.56,10.4,4.8,1.36,4
8.41,11.0,1.6,0.04,1
8.11,7.05,0.0,0.14,2
8.01,10.5,1.9,0.26,2
8.18,10.4,2.4,0.17,2
7.54,8.55,1.9,0.28,2
7.64,8.29,5.1,1.62,5
7.61,10.2,4.8,1.96,5
8.75,10.6,1.6,0.04,1
8.04,6.14,0.0,0.2,2
7.68,8.08,5.8,2.53,6
7.92,4.75,0.0,0.31,4
8.06,10.8,2.2,0.29,2
8.8,9.76,1.7,0.03,1
7.4,7.8,1.9,0.44,2
7.96,9.81,3.7,1.83,5
8.25,10.6,1.9,0.16,2
7.88,9.68,1.8,0.27,2
8.32,10.2,2.1,0.12,2
7.39,7.13,1.8,0.32,2
7.65,6.76,5.2,2.04,6
7.67,8.78,7.8,0.54,4
8.57,8.6,1.7,0.02,1
7.81,3.7,0.0,0.26,4
7.82,8.53,2.1,0.27,2
8.14,9.13,2.8,0.1,2
7.19,5.14,2.2,0.47,3
8.04,9.03,6.1,0.4,4
7.36,8.27,4.7,0.64,3
8.48,8.27,1.8,0.03,1
7.76,3.94,0.0,0.41,4
7.98,8.73,2.4,0.27,2
8.24,9.52,4.7,0.11,3
7.54,6.62,2.2,0.32,2
7.71,7.74,5.3,0.91,3
7.38,8.54,3.7,0.58,3
8.45,7.57,1.8,0.05,1
7.72,3.64,0.0,0.21,4
7.8,8.16,2.9,0.28,2
8.14,8.89,3.4,0.12,2
7.71,6.22,2.0,0.19,2
7.68,7.66,6.0,0.27,3
7.32,8.0,3.4,0.64,3
8.42,7.61,1.9,0.04,1
7.68,3.71,0.0,0.26,4
7.9,8.01,3.6,0.27,2
8.18,8.95,3.4,0.1,2
8.06,6.39,0.0,0.14,2
7.25,3.39,2.2,0.83,4
8.51,8.66,2.0,0.06,1
7.79,7.85,4.9,0.2,3
7.26,7.72,3.6,0.53,3
7.81,7.6,2.2,0.24,2
8.15,8.59,3.7,0.1,2
7.2,2.01,2.1,0.86,5
8.07,8.2,6.9,0.11,4
7.31,7.23,3.7,0.62,3
8.6,9.58,2.4,0.05,2
7.93,6.22,0.0,0.21,2
7.79,7.28,2.9,0.21,2
8.12,8.3,3.8,0.13,2
7.43,1.79,2.7,1.22,6
7.78,7.46,4.0,0.58,3
8.77,10.8,2.4,0.09,2
7.9,4.63,0.0,0.3,4
7.62,7.02,2.3,0.18,2
8.17,8.28,3.8,0.35,2
7.25,2.55,3.2,0.52,5
7.66,7.31,3.6,0.52,3
8.44,9.1,2.2,0.05,2
8.15,6.62,0.0,0.28,2
7.77,6.99,3.9,0.13,2
8.21,8.32,3.9,0.3,2
7.48,4.57,4.2,0.57,4
7.69,7.0,3.6,0.53,3
8.37,8.39,2.4,0.03,2
8.23,7.25,0.0,0.19,2
7.7,6.55,4.2,0.12,3
8.12,7.69,4.0,0.24,2
7.4,4.01,4.1,0.44,4
7.73,6.86,3.2,0.48,2
8.32,9.77,2.9,0.02,2
8.26,9.38,0.0,0.18,2
7.64,5.93,4.9,0.57,3
8.12,8.24,2.2,0.05,2
7.92,6.41,0.0,0.17,2
8.1,7.54,4.4,0.33,3
7.38,3.0,4.2,1.23,4
7.69,6.41,4.0,0.13,2
7.62,5.99,5.3,0.14,3
7.95,6.82,5.0,0.25,3
7.25,3.28,3.6,0.85,4
7.65,6.02,4.5,0.77,3
8.26,8.03,3.0,0.05,2
8.4,11.5,0.0,0.19,2
7.79,5.93,3.8,0.15,3
7.95,7.28,2.7,0.15,2
7.34,3.86,3.6,0.81,4
7.72,6.12,5.8,0.74,3
8.53,9.1,2.6,0.03,2
7.78,7.98,0.0,0.44,2
