pH,DO(mg/l),CODMn(mg/l),NH3-N(mg/l),本周水质
8.78,8.98,9.3,0.41,4
8.75,7.85,11.1,0.35,5
8.28,7.11,9.0,0.21,4
7.62,8.38,3.9,0.24,2
8.75,8.87,11.1,0.31,5
8.7,8.06,11.9,0.34,5
8.42,7.95,10.0,0.23,4
7.35,7.21,12.3,0.26,5
8.88,9.29,12.4,0.4,5
8.52,8.39,11.7,0.34,5
8.31,8.13,8.2,0.24,4
7.43,8.33,10.2,0.19,5
8.93,9.52,11.6,0.39,5
8.33,8.15,11.5,0.43,5
8.46,8.36,9.1,0.25,4
7.56,9.79,4.2,0.19,3
8.89,9.6,10.4,0.39,5
8.31,8.09,10.9,0.35,5
8.17,7.16,8.3,0.25,4
8.99,9.77,9.8,0.35,4
8.37,8.15,8.6,0.42,4
7.71,5.19,4.9,0.27,3
7.65,9.05,3.7,0.23,2
7.61,8.35,3.2,0.28,2
8.98,9.99,8.4,0.35,4
8.33,8.5,12.2,0.48,5
7.87,4.69,4.1,0.25,4
7.66,8.24,3.5,0.26,2
9.09,10.1,10.2,0.35,6
8.43,8.92,11.3,0.37,5
8.07,4.44,5.6,0.21,4
7.55,13.9,1.2,0.14,1
7.74,10.0,2.6,0.09,2
8.66,11.2,4.4,0.79,3
8.04,9.9,1.7,0.18,2
7.88,14.0,4.7,0.22,3
7.41,8.1,5.8,0.32,3
8.15,12.1,2.6,0.16,2
8.13,9.73,2.5,0.07,2
7.6,14.0,1.0,0.14,1
8.15,12.1,2.6,0.17,2
7.73,13.3,4.7,0.2,3
8.03,8.85,1.7,0.17,2
8.71,11.2,3.4,0.71,3
7.39,8.84,4.5,0.15,3
8.18,12.2,2.2,0.16,2
7.47,6.1,4.1,0.57,3
7.9,8.51,2.1,0.07,2
8.69,11.2,3.9,0.5,2
7.92,11.3,0.0,0.19,2
7.64,13.1,4.3,0.17,3
7.78,13.4,1.5,0.2,2
8.19,12.1,4.0,0.21,2
7.9,11.7,1.4,0.29,2
7.46,6.04,4.0,0.41,2
8.01,8.52,2.1,0.11,2
9.02,11.2,10.5,0.45,6
7.86,12.9,0.0,0.15,1
7.69,13.0,3.4,0.13,2
7.22,6.89,2.7,0.24,2
8.23,9.45,4.1,0.32,3
7.53,7.59,2.2,0.03,2
7.67,11.9,1.3,0.16,2
7.97,10.5,4.1,0.26,3
7.61,10.6,2.0,0.14,1
8.11,10.3,0.0,0.17,2
7.26,9.19,1.9,0.17,2
7.83,7.2,2.2,0.04,2
7.24,7.37,2.7,0.25,2
8.3,9.46,2.9,0.36,2
8.28,9.35,0.0,0.13,1
8.03,10.4,4.6,0.27,3
7.75,11.6,1.3,0.27,2
7.31,6.86,3.3,0.18,2
7.66,10.4,1.3,0.25,2
8.02,9.54,3.9,0.26,2
